id, transaction_time, date,time, location_id, latitude, longitude,rfid_id, starting_credits, ending_credits, transaction_type, amount, error_code
1,1380643139,2013-10-01,05:58:59,103,"","",0,0,0,32,1.01,0
2,1380643139,2013-10-01,05:58:59,103,"","",0,0,0,33,1.13,0
3,1380643789,2013-10-01,06:09:49,103,"","",0,0,0,30,1380643780,0
4,1380643817,2013-10-01,06:10:17,103,"","",0,0,0,30,1380643808,0
5,1380644043,2013-10-01,06:14:03,103,"","",0,0,0,30,1380644034,0
6,1380644343,2013-10-01,06:19:03,103,"","",0,0,0,30,1380644334,0
7,1380644544,2013-10-01,06:22:24,103,"","",0,0,0,30,1380644521,0
8,1380644678,2013-10-01,06:24:38,103,"","",0,0,0,30,1380644669,0
9,1380645620,2013-10-01,06:40:20,103,"","",0,0,0,30,1380645611,0
10,1380645654,2013-10-01,06:40:54,103,"","",0,0,0,30,1380645645,0
11,1380646044,2013-10-01,06:47:24,103,"","",94.1.141.25,5600,5580,0,20,0
12,1380646072,2013-10-01,06:47:52,103,"","",94.1.141.25,5580,5598,1,1,0
13,1380646117,2013-10-01,06:48:37,103,"","",94.1.141.25,5598,5578,0,20,0
14,1380646138,2013-10-01,06:48:58,103,"","",94.1.141.25,5578,5597,1,1,0
15,1380646150,2013-10-01,06:49:10,103,"","",94.1.141.25,5597,5577,0,20,0
16,1380646163,2013-10-01,06:49:23,103,"","",94.1.141.25,5577,5596,1,0,0
17,1380646367,2013-10-01,06:52:47,103,"","",94.1.141.25,5596,5576,0,20,0
18,1380646387,2013-10-01,06:53:07,103,"","",94.1.141.25,5576,5594,1,2,0
19,1380646783,2013-10-01,06:59:43,103,"","",94.1.141.25,5594,5574,0,20,0
20,1380646848,2013-10-01,07:00:48,103,"","",94.1.141.25,5574,5593,1,0,0
21,1380647096,2013-10-01,07:04:56,103,"","",94.1.141.25,5593,5573,0,20,0
22,1380647119,2013-10-01,07:05:19,103,"","",94.1.141.25,5573,5592,1,0,0
23,1380647226,2013-10-01,07:07:06,103,"","",0,0,0,31,1,0
24,1380647230,2013-10-01,07:07:10,103,"","",0,0,0,31,0,0
25,1380647700,2013-10-01,07:15:00,103,"","",94.1.141.25,5592,5572,0,20,0
26,1380647724,2013-10-01,07:15:24,103,"","",94.1.141.25,5572,5591,1,0,0
27,1380647725,2013-10-01,07:15:25,103,"","",94.1.141.25,5591,5571,0,20,0
28,1380647743,2013-10-01,07:15:43,103,"","",94.1.141.25,5571,5590,1,0,0
29,1380649914,2013-10-01,07:51:54,103,"","",94.1.141.25,5590,5570,0,20,0
30,1380649972,2013-10-01,07:52:52,103,"","",94.1.141.25,5570,5583,1,7,0
31,1380650321,2013-10-01,07:58:41,103,"","",94.1.141.25,5583,5563,0,20,0
32,1380650386,2013-10-01,07:59:46,103,"","",94.1.141.25,5563,5582,1,0,0
33,1380650387,2013-10-01,07:59:47,103,"","",0,0,0,32,1.01,0
34,1380650387,2013-10-01,07:59:47,103,"","",0,0,0,33,1.13,0
35,1380650388,2013-10-01,07:59:48,103,"","",94.1.141.25,5582,5562,0,20,0
36,1380650444,2013-10-01,08:00:44,103,"","",94.1.141.25,5562,5582,1,0,0
37,1380650445,2013-10-01,08:00:45,103,"","",94.1.141.25,5582,5562,0,20,0
38,1380650614,2013-10-01,08:03:34,103,"","",94.1.141.25,5562,5582,1,0,0
39,1380650693,2013-10-01,08:04:53,103,"","",94.1.141.25,5582,5562,0,20,0
